Sample;Time;Device;X;Y;Z;qX;qY;qZ;qW;x;y;z
0;1,1686; Device
1;21,3978; 18/05/2021 11:32:21 a, m,
2;22,4599;H;0;1,5;0;1;0;0;0;0;0;0
2;22,4599;L;0;1;0;1;0;0;0;0;0;0
2;22,4599;R;0;1;0;1;0;0;0;0;0;0
3;38,5561;H;0;1,5;0;1;0;0;0;0;0;0
3;38,5561;L;0;1;0;1;0;0;0;0;0;0
3;38,5561;R;0;1;0;1;0;0;0;0;0;0
4;59,6166;H;0;1,5;0;1;0;0;0;0;0;0
4;59,6166;L;34,505;0,746;25,067;0,7975953;0,2768596;0,3688129;-0,3888027;46,75533;32,98991;322,6133
4;59,6166;R;0;1;0;1;0;0;0;0;0;0
5;78,3842;H;0;1,5;0;1;0;0;0;0;0;0
5;78,3842;L;34,505;0,746;25,067;0,7975953;0,2768596;0,3688129;-0,3888027;46,75533;32,98991;322,6133
5;78,3842;R;0;1;0;1;0;0;0;0;0;0
6;98,6674;H;0;1,5;0;1;0;0;0;0;0;0
6;98,6674;L;34,505;0,746;25,067;0,7975953;0,2768596;0,3688129;-0,3888027;46,75533;32,98991;322,6133
6;98,6674;R;0;1;0;1;0;0;0;0;0;0
7;118,3701;H;0;1,5;0;1;0;0;0;0;0;0
7;118,3701;L;34,505;0,746;25,067;0,7975953;0,2768596;0,3688129;-0,3888027;46,75533;32,98991;322,6133
7;118,3701;R;0;1;0;1;0;0;0;0;0;0
8;138,3307;H;0;1,5;0;1;0;0;0;0;0;0
8;138,3307;L;34,505;0,746;25,067;0,7975953;0,2768596;0,3688129;-0,3888027;46,75533;32,98991;322,6133
8;138,3307;R;0;1;0;1;0;0;0;0;0;0
9;159,3903;H;0;1,5;0;1;0;0;0;0;0;0
9;159,3903;L;34,505;0,746;25,067;0,7975953;0,2768596;0,3688129;-0,3888027;46,75533;32,98991;322,6133
9;159,3903;R;0;1;0;1;0;0;0;0;0;0
10;179,6718;H;0;1,5;0;1;0;0;0;0;0;0
10;179,6718;L;34,505;0,746;25,067;0,7975953;0,2768596;0,3688129;-0,3888027;46,75533;32,98991;322,6133
10;179,6718;R;0;1;0;1;0;0;0;0;0;0
11;198,5991;H;0;1,5;0;1;0;0;0;0;0;0
11;198,5991;L;34,505;0,746;25,067;0,7975953;0,2768596;0,3688129;-0,3888027;46,75533;32,98991;322,6133
11;198,5991;R;0;1;0;1;0;0;0;0;0;0
12;218,3882;H;0;1,5;0;1;0;0;0;0;0;0
12;218,3882;L;34,505;0,746;25,067;0,7975953;0,2768596;0,3688129;-0,3888027;46,75533;32,98991;322,6133
12;218,3882;R;0;1;0;1;0;0;0;0;0;0
13;238,5548;H;0;1,5;0;1;0;0;0;0;0;0
13;238,5548;L;34,505;0,746;25,067;0,7975953;0,2768596;0,3688129;-0,3888027;46,75533;32,98991;322,6133
13;238,5548;R;0;1;0;1;0;0;0;0;0;0
14;258,403;H;0;1,5;0;1;0;0;0;0;0;0
14;258,403;L;34,505;0,746;25,067;0,7975953;0,2768596;0,3688129;-0,3888027;46,75533;32,98991;322,6133
14;258,403;R;0;1;0;1;0;0;0;0;0;0
15;279,5576;H;0;1,5;0;1;0;0;0;0;0;0
15;279,5576;L;34,505;0,746;25,067;0,7975953;0,2768596;0,3688129;-0,3888027;46,75533;32,98991;322,6133
15;279,5576;R;0;1;0;1;0;0;0;0;0;0
16;297,1749;H;0;1,5;0;1;0;0;0;0;0;0
16;297,1749;L;34,505;0,746;25,067;0,7975953;0,2768596;0,3688129;-0,3888027;46,75533;32,98991;322,6133
16;297,1749;R;0;1;0;1;0;0;0;0;0;0
17;318,4707;H;0;1,5;0;1;0;0;0;0;0;0
17;318,4707;L;34,505;0,746;25,067;0,7975953;0,2768596;0,3688129;-0,3888027;46,75533;32,98991;322,6133
17;318,4707;R;0;1;0;1;0;0;0;0;0;0
18;338,7307;H;0;1,5;0;1;0;0;0;0;0;0
18;338,7307;L;34,505;0,746;25,067;0,7975953;0,2768596;0,3688129;-0,3888027;46,75533;32,98991;322,6133
18;338,7307;R;0;1;0;1;0;0;0;0;0;0
19;358,4787;H;0;1,5;0;1;0;0;0;0;0;0
19;358,4787;L;34,505;0,746;25,067;0,7975953;0,2768596;0,3688129;-0,3888027;46,75533;32,98991;322,6133
19;358,4787;R;0;1;0;1;0;0;0;0;0;0
20;378,3794;H;0;1,5;0;1;0;0;0;0;0;0
20;378,3794;L;34,505;0,746;25,067;0,7975953;0,2768596;0,3688129;-0,3888027;46,75533;32,98991;322,6133
20;378,3794;R;0;1;0;1;0;0;0;0;0;0
21;398,6538;H;0;1,5;0;1;0;0;0;0;0;0
21;398,6538;L;34,505;0,746;25,067;0,7975953;0,2768596;0,3688129;-0,3888027;46,75533;32,98991;322,6133
21;398,6538;R;0;1;0;1;0;0;0;0;0;0
22;418,669;H;0;1,5;0;1;0;0;0;0;0;0
22;418,669;L;34,505;0,746;25,067;0,7975953;0,2768596;0,3688129;-0,3888027;46,75533;32,98991;322,6133
22;418,669;R;0;1;0;1;0;0;0;0;0;0
23;438,3342;H;0;1,5;0;1;0;0;0;0;0;0
23;438,3342;L;34,505;0,746;25,067;0,7975953;0,2768596;0,3688129;-0,3888027;46,75533;32,98991;322,6133
23;438,3342;R;0;1;0;1;0;0;0;0;0;0
