Var11,Var12,Var13
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"352,7986","358,0305","115,5778"
"352,7986","358,0305","115,5778"
"352,7986","358,0305","115,5778"
"352,7986","358,0305","115,5778"
"352,7986","358,0305","115,5778"
"352,7986","358,0305","115,5778"
"352,7198","358,3507","115,4974"
"352,7198","358,3507","115,4974"
"352,7198","358,3507","115,4974"
"352,7198","358,3507","115,4974"
"352,7198","358,3507","115,4974"
"352,7198","358,3507","115,4974"
"352,632","358,3927","115,8128"
"352,632","358,3927","115,8128"
"352,632","358,3927","115,8128"
"352,632","358,3927","115,8128"
"352,632","358,3927","115,8128"
"352,8329","358,2446","116,233"
"352,8329","358,2446","116,233"
"352,8329","358,2446","116,233"
"352,8329","358,2446","116,233"
"352,8329","358,2446","116,233"
"352,8329","358,2446","116,233"
"352,9167","358,5991","116,2098"
"352,9167","358,5991","116,2098"
"352,9167","358,5991","116,2098"
"352,9167","358,5991","116,2098"
"352,9167","358,5991","116,2098"
"353,0035","358,96","116,0893"
"353,0035","358,96","116,0893"
"353,0035","358,96","116,0893"
"353,0035","358,96","116,0893"
"353,0035","358,96","116,0893"
"353,0035","358,96","116,0893"
"353,0244","359,2101","116,1713"
"353,0244","359,2101","116,1713"
"353,0244","359,2101","116,1713"
"353,0244","359,2101","116,1713"
"353,0244","359,2101","116,1713"
"353,0244","359,2101","116,1713"
"353,0053","358,9282","116,6023"
"353,0053","358,9282","116,6023"
"353,0053","358,9282","116,6023"
"353,0053","358,9282","116,6023"
"353,0053","358,9282","116,6023"
"352,8826","358,7253","116,7138"
"352,8826","358,7253","116,7138"
"352,8826","358,7253","116,7138"
"352,8826","358,7253","116,7138"
"352,8826","358,7253","116,7138"
"352,8826","358,7253","116,7138"
