Var1,Var2,Var3,Var11,Var12,Var13
121,"2365,6987","H","2,286144","355,6392","179,7982"
122,"2385,3772","H","2,286144","355,6392","179,7982"
123,"2404,8711","H","2,286144","355,6392","179,7982"
124,"2424,0339","H","2,286144","355,6392","179,7982"
125,"2444,8895","H","2,286144","355,6392","179,7982"
126,"2465,2833","H","2,286144","355,6392","179,7982"
127,"2487,2068","H","2,286144","355,6392","179,7982"
128,"2505,7896","H","2,396679","355,7512","179,6817"
129,"2525,4741","H","2,396679","355,7512","179,6817"
130,"2544,5828","H","2,396679","355,7512","179,6817"
131,"2564,5205","H","2,396679","355,7512","179,6817"
132,"2584,2019","H","2,396679","355,7512","179,6817"
133,"2605,1809","H","2,396679","355,7512","179,6817"
134,"2625,3676","H","2,396679","355,7512","179,6817"
135,"2644,597","H","2,171647","355,6395","179,8026"
136,"2664,5575","H","2,171647","355,6395","179,8026"
137,"2685,6243","H","2,171647","355,6395","179,8026"
138,"2704,9135","H","2,171647","355,6395","179,8026"
139,"2725,2503","H","2,171647","355,6395","179,8026"
140,"2745,4163","H","2,17584","355,5271","179,915"
141,"2765,217","H","2,17584","355,5271","179,915"
142,"2785,7456","H","2,17584","355,5271","179,915"
143,"2805,7692","H","2,17584","355,5271","179,915"
144,"2824,9416","H","2,17584","355,5271","179,915"
145,"2845,9081","H","2,17584","355,5271","179,915"
146,"2865,6363","H","2,299212","355,6461","180,142"
147,"2884,5365","H","2,299212","355,6461","180,142"
148,"2904,3156","H","2,299212","355,6461","180,142"
149,"2925,8831","H","2,299212","355,6461","180,142"
150,"2944,5531","H","2,299212","355,6461","180,142"
151,"2964,2204","H","2,31184","355,7677","180,4881"
152,"2984,8421","H","2,31184","355,7677","180,4881"
153,"3004,3795","H","2,31184","355,7677","180,4881"
154,"3024,7029","H","2,31184","355,7677","180,4881"
155,"3044,4917","H","2,31184","355,7677","180,4881"
156,"3065,1153","H","2,31184","355,7677","180,4881"
157,"3084,3361","H","2,330397","355,5479","180,9417"
158,"3105,6339","H","2,330397","355,5479","180,9417"
159,"3125,6873","H","2,330397","355,5479","180,9417"
160,"3144,5987","H","2,330397","355,5479","180,9417"
161,"3163,2751","H","2,330397","355,5479","180,9417"
162,"3186,1661","H","2,330397","355,5479","180,9417"
163,"3204,2752","H","2,223682","355,6661","181,1776"
164,"3224,9499","H","2,223682","355,6661","181,1776"
165,"3245,3601","H","2,223682","355,6661","181,1776"
166,"3264,2425","H","2,223682","355,6661","181,1776"
167,"3286,0952","H","2,223682","355,6661","181,1776"
168,"3304,3071","H","2,4968","355,1158","182,0727"
169,"3323,9705","H","2,4968","355,1158","182,0727"
170,"3344,1826","H","2,4968","355,1158","182,0727"
171,"3365,5841","H","2,4968","355,1158","182,0727"
172,"3383,5418","H","2,4968","355,1158","182,0727"
173,"3405,302","H","2,4968","355,1158","182,0727"
174,"3423,7352","H","2,8272","354,1246","183,6426"
175,"3444,4646","H","2,8272","354,1246","183,6426"
176,"3464,3349","H","2,8272","354,1246","183,6426"
177,"3485,1598","H","2,8272","354,1246","183,6426"
178,"3504,2761","H","2,8272","354,1246","183,6426"
179,"3523,7204","H","3,115753","353,5049","186,2593"
180,"3544,3876","H","3,115753","353,5049","186,2593"
181,"3564,3259","H","3,115753","353,5049","186,2593"
182,"3583,5955","H","3,115753","353,5049","186,2593"
183,"3605,3058","H","3,115753","353,5049","186,2593"
184,"3624,6122","H","3,115753","353,5049","186,2593"
185,"3644,4911","H","3,394403","352,8857","188,2957"
186,"3664,6226","H","3,394403","352,8857","188,2957"
187,"3685,5598","H","3,394403","352,8857","188,2957"
188,"3704,3168","H","3,394403","352,8857","188,2957"
189,"3725,4188","H","3,394403","352,8857","188,2957"
190,"3744,45","H","3,429347","352,4657","190,0173"
191,"3764,6812","H","3,429347","352,4657","190,0173"
192,"3785,474","H","3,429347","352,4657","190,0173"
193,"3806,2382","H","3,429347","352,4657","190,0173"
194,"3824,3641","H","3,429347","352,4657","190,0173"
195,"3845,0547","H","3,429347","352,4657","190,0173"
196,"3864,2106","H","3,560056","352,1709","191,4977"
197,"3884,2677","H","3,560056","352,1709","191,4977"
198,"3904,2906","H","3,560056","352,1709","191,4977"
199,"3924,3587","H","3,560056","352,1709","191,4977"
200,"3945,2217","H","3,560056","352,1709","191,4977"
201,"3964,6209","H","3,560056","352,1709","191,4977"
202,"3984,7214","H","3,655339","351,9753","192,5254"
203,"4004,094","H","3,655339","351,9753","192,5254"
204,"4024,2429","H","3,655339","351,9753","192,5254"
205,"4045,7492","H","3,655339","351,9753","192,5254"
206,"4064,1344","H","3,655339","351,9753","192,5254"
207,"4084,4081","H","3,861952","352,1476","194,0277"
208,"4104,5592","H","3,861952","352,1476","194,0277"
209,"4124,5475","H","3,861952","352,1476","194,0277"
210,"4145,1919","H","3,861952","352,1476","194,0277"
211,"4165,7066","H","3,861952","352,1476","194,0277"
212,"4184,3739","H","3,861952","352,1476","194,0277"
213,"4204,7576","H","3,840617","352,1838","195,4128"
214,"4224,5134","H","3,840617","352,1838","195,4128"
215,"4245,4171","H","3,840617","352,1838","195,4128"
216,"4264,4457","H","3,840617","352,1838","195,4128"
217,"4284,4907","H","3,840617","352,1838","195,4128"
218,"4304,5683","H","3,662315","352,1744","196,1234"
219,"4323,3323","H","3,662315","352,1744","196,1234"
220,"4344,1955","H","3,662315","352,1744","196,1234"
221,"4363,1292","H","3,662315","352,1744","196,1234"
222,"4385,7713","H","3,662315","352,1744","196,1234"
223,"4404,7636","H","3,662315","352,1744","196,1234"
224,"4425,6022","H","3,354167","352,8319","196,3913"
225,"4444,8128","H","3,354167","352,8319","196,3913"
226,"4464,2957","H","3,354167","352,8319","196,3913"
227,"4484,3198","H","3,354167","352,8319","196,3913"
228,"4505,399","H","3,354167","352,8319","196,3913"
229,"4524,1657","H","3,386842","353,4152","196,4065"
230,"4544,4755","H","3,386842","353,4152","196,4065"
231,"4564,5186","H","3,386842","353,4152","196,4065"
232,"4584,3359","H","3,386842","353,4152","196,4065"
233,"4606,0808","H","3,386842","353,4152","196,4065"
234,"4624,6426","H","3,386842","353,4152","196,4065"
235,"4644,5821","H","3,404242","353,9959","196,179"
236,"4665,3915","H","3,404242","353,9959","196,179"
237,"4685,6368","H","3,404242","353,9959","196,179"
238,"4704,3636","H","3,404242","353,9959","196,179"
239,"4724,7873","H","3,404242","353,9959","196,179"
240,"4745,7731","H","3,475239","354,2303","195,9551"
241,"4765,4772","H","3,475239","354,2303","195,9551"
242,"4784,5942","H","3,475239","354,2303","195,9551"
243,"4805,4134","H","3,475239","354,2303","195,9551"
244,"4825,3043","H","3,475239","354,2303","195,9551"
245,"4843,5068","H","3,475239","354,2303","195,9551"
246,"4867,113","H","3,589295","354,129","195,7028"
247,"4885,266","H","3,589295","354,129","195,7028"
248,"4904,6031","H","3,589295","354,129","195,7028"
249,"4925,7459","H","3,589295","354,129","195,7028"
250,"4944,34","H","3,589295","354,129","195,7028"
251,"4965,6428","H","3,592327","353,88","195,1262"
252,"4985,4822","H","3,592327","353,88","195,1262"
253,"5004,2714","H","3,592327","353,88","195,1262"
254,"5025,8943","H","3,592327","353,88","195,1262"
255,"5044,4896","H","3,592327","353,88","195,1262"
256,"5064,7204","H","3,592327","353,88","195,1262"
257,"5084,8423","H","3,50969","353,3994","194,6455"
258,"5104,9278","H","3,50969","353,3994","194,6455"
259,"5126,1542","H","3,50969","353,3994","194,6455"
260,"5144,2508","H","3,50969","353,3994","194,6455"
261,"5164,5668","H","3,50969","353,3994","194,6455"
262,"5184,4648","H","3,50969","353,3994","194,6455"
263,"5204,0299","H","3,477332","353,5002","194,3089"
264,"5223,1423","H","3,477332","353,5002","194,3089"
265,"5243,9366","H","3,477332","353,5002","194,3089"
266,"5264,4533","H","3,477332","353,5002","194,3089"
267,"5283,5972","H","3,477332","353,5002","194,3089"
268,"5304,1896","H","3,429466","353,8371","194,2078"
269,"5325,9904","H","3,429466","353,8371","194,2078"
270,"5344,6007","H","3,429466","353,8371","194,2078"
271,"5364,9021","H","3,429466","353,8371","194,2078"
272,"5384,5971","H","3,429466","353,8371","194,2078"
273,"5405,7226","H","3,429466","353,8371","194,2078"
274,"5425,5615","H","3,409914","353,9467","194,0982"
275,"5444,2787","H","3,409914","353,9467","194,0982"
276,"5464,217","H","3,409914","353,9467","194,0982"
277,"5484,2867","H","3,409914","353,9467","194,0982"
278,"5503,5895","H","3,409914","353,9467","194,0982"
279,"5524,7487","H","3,55696","353,7373","194,1978"
280,"5545,5195","H","3,55696","353,7373","194,1978"
281,"5565,656","H","3,55696","353,7373","194,1978"
282,"5585,2375","H","3,55696","353,7373","194,1978"
283,"5604,3664","H","3,55696","353,7373","194,1978"
284,"5624,6874","H","3,55696","353,7373","194,1978"
285,"5643,654","H","3,443426","353,7234","194,2036"
286,"5666,0046","H","3,443426","353,7234","194,2036"
287,"5685,1435","H","3,443426","353,7234","194,2036"
288,"5705,3878","H","3,443426","353,7234","194,2036"
289,"5725,5129","H","3,443426","353,7234","194,2036"
290,"5744,6033","H","3,537346","353,8468","194,0883"
291,"5765,9864","H","3,537346","353,8468","194,0883"
292,"5785,4685","H","3,537346","353,8468","194,0883"
293,"5805,6016","H","3,537346","353,8468","194,0883"
294,"5824,5513","H","3,537346","353,8468","194,0883"
295,"5844,433","H","3,537346","353,8468","194,0883"
296,"5865,6274","H","3,616133","353,967","193,732"
297,"5885,229","H","3,616133","353,967","193,732"
298,"5904,4397","H","3,616133","353,967","193,732"
299,"5925,3747","H","3,616133","353,967","193,732"
300,"5945,8463","H","3,616133","353,967","193,732"
301,"5965,7361","H","3,493234","353,8229","193,2781"
302,"5983,7846","H","3,493234","353,8229","193,2781"
