Sample;Time;Device;X;Y;Z;qX;qY;qZ;qW;x;y;z
0;0; Device
1;10,8045; 22/11/2021 17:38:07
2;10,8045;H;0;1,5;0;1;0;0;0;0;0;0
2;10,8045;L;0;1;0;1;0;0;0;0;0;0
2;10,8045;R;0;1;0;1;0;0;0;0;0;0
3;21,4021;H;0;1,5;0;1;0;0;0;0;0;0
3;21,4021;L;0;1;0;1;0;0;0;0;0;0
3;21,4021;R;0;1;0;1;0;0;0;0;0;0
4;40,303;H;0;1,5;0;1;0;0;0;0;0;0
4;40,303;L;35,094;0,52;24,539;0,7953158;0,5021994;-0,3391347;-0,01600636;51,99506;295,5504;323,5189
4;40,303;R;0;1;0;1;0;0;0;0;0;0
5;59,8508;H;0;1,5;0;1;0;0;0;0;0;0
5;59,8508;L;35,094;0,52;24,539;0,7953158;0,5021994;-0,3391347;-0,01600636;51,99506;295,5504;323,5189
5;59,8508;R;0;1;0;1;0;0;0;0;0;0
6;81,1978;H;0;1,5;0;1;0;0;0;0;0;0
6;81,1978;L;35,094;0,52;24,539;0,7953158;0,5021994;-0,3391347;-0,01600636;51,99506;295,5504;323,5189
6;81,1978;R;0;1;0;1;0;0;0;0;0;0
7;99,7062;H;0;1,5;0;1;0;0;0;0;0;0
7;99,7062;L;35,094;0,52;24,539;0,7953158;0,5021994;-0,3391347;-0,01600636;51,99506;295,5504;323,5189
7;99,7062;R;0;1;0;1;0;0;0;0;0;0
8;121,3436;H;0;1,5;0;1;0;0;0;0;0;0
8;121,3436;L;35,094;0,52;24,539;0,7953158;0,5021994;-0,3391347;-0,01600636;51,99506;295,5504;323,5189
8;121,3436;R;0;1;0;1;0;0;0;0;0;0
9;141,3918;H;0;1,5;0;1;0;0;0;0;0;0
9;141,3918;L;35,094;0,52;24,539;0,7953158;0,5021994;-0,3391347;-0,01600636;51,99506;295,5504;323,5189
9;141,3918;R;0;1;0;1;0;0;0;0;0;0
10;160,4922;H;0;1,5;0;1;0;0;0;0;0;0
10;160,4922;L;35,094;0,52;24,539;0,7953158;0,5021994;-0,3391347;-0,01600636;51,99506;295,5504;323,5189
10;160,4922;R;0;1;0;1;0;0;0;0;0;0
11;180,7705;H;0;1,5;0;1;0;0;0;0;0;0
11;180,7705;L;35,094;0,52;24,539;0,7953158;0,5021994;-0,3391347;-0,01600636;51,99506;295,5504;323,5189
11;180,7705;R;0;1;0;1;0;0;0;0;0;0
12;202,4141;H;0;1,5;0;1;0;0;0;0;0;0
12;202,4141;L;35,094;0,52;24,539;0,7953158;0,5021994;-0,3391347;-0,01600636;51,99506;295,5504;323,5189
12;202,4141;R;0;1;0;1;0;0;0;0;0;0
13;221,2348;H;0;1,5;0;1;0;0;0;0;0;0
13;221,2348;L;35,094;0,52;24,539;0,7953158;0,5021994;-0,3391347;-0,01600636;51,99506;295,5504;323,5189
13;221,2348;R;0;1;0;1;0;0;0;0;0;0
14;240,7257;H;0;1,5;0;1;0;0;0;0;0;0
14;240,7257;L;35,094;0,52;24,539;0,7953158;0,5021994;-0,3391347;-0,01600636;51,99506;295,5504;323,5189
14;240,7257;R;0;1;0;1;0;0;0;0;0;0
15;259,8292;H;0;1,5;0;1;0;0;0;0;0;0
15;259,8292;L;35,094;0,52;24,539;0,7953158;0,5021994;-0,3391347;-0,01600636;51,99506;295,5504;323,5189
15;259,8292;R;0;1;0;1;0;0;0;0;0;0
16;281,5079;H;0;1,5;0;1;0;0;0;0;0;0
16;281,5079;L;35,094;0,52;24,539;0,7953158;0,5021994;-0,3391347;-0,01600636;51,99506;295,5504;323,5189
16;281,5079;R;0;1;0;1;0;0;0;0;0;0
17;299,9267;H;0;1,5;0;1;0;0;0;0;0;0
