Var1,Var2,Var3,Var11,Var12,Var13
156,"3077,0301","H","6,716374","4,725842","184,1838"
157,"3097,2017","H","6,716374","4,725842","184,1838"
158,"3116,7963","H","6,992106","0,402082","180,9431"
159,"3136,8913","H","6,992106","0,402082","180,9431"
160,"3156,9981","H","6,992106","0,402082","180,9431"
161,"3176,6053","H","6,992106","0,402082","180,9431"
162,"3198,715","H","6,992106","0,402082","180,9431"
163,"3216,7911","H","6,992106","0,402082","180,9431"
164,"3238,3842","H","6,992106","0,402082","180,9431"
165,"3257,0546","H","6,992106","0,402082","180,9431"
166,"3278,1953","H","6,992106","0,402082","180,9431"
167,"3296,7679","H","6,992106","0,402082","180,9431"
168,"3316,8652","H","6,992106","0,402082","180,9431"
169,"3336,3375","H","6,992106","0,402082","180,9431"
170,"3356,9226","H","6,992106","0,402082","180,9431"
171,"3376,9657","H","6,992106","0,402082","180,9431"
172,"3397,0245","H","6,992106","0,402082","180,9431"
173,"3418,2185","H","6,992106","0,402082","180,9431"
174,"3437,3155","H","6,992106","0,402082","180,9431"
175,"3456,3785","H","6,992106","0,402082","180,9431"
176,"3478,4283","H","6,992106","0,402082","180,9431"
177,"3498,5586","H","6,992106","0,402082","180,9431"
178,"3517,1371","H","6,992106","0,402082","180,9431"
179,"3538,1941","H","6,992106","0,402082","180,9431"
180,"3556,24","H","6,992106","0,402082","180,9431"
181,"3578,2929","H","6,992106","0,402082","180,9431"
182,"3597,4577","H","6,992106","0,402082","180,9431"
183,"3617,0617","H","6,992106","0,402082","180,9431"
184,"3636,1517","H","6,992106","0,402082","180,9431"
185,"3657,202","H","6,992106","0,402082","180,9431"
186,"3678,3012","H","6,992106","0,402082","180,9431"
187,"3697,3923","H","6,992106","0,402082","180,9431"
188,"3717,4431","H","6,992106","0,402082","180,9431"
189,"3738,5149","H","6,992106","0,402082","180,9431"
190,"3757,0442","H","6,992106","0,402082","180,9431"
191,"3778,1642","H","6,992106","0,402082","180,9431"
192,"3796,2045","H","6,992106","0,402082","180,9431"
193,"3818,3202","H","6,992106","0,402082","180,9431"
194,"3836,864","H","6,992106","0,402082","180,9431"
195,"3857,4456","H","6,992106","0,402082","180,9431"
196,"3877,5285","H","6,992106","0,402082","180,9431"
197,"3897,1324","H","6,992106","0,402082","180,9431"
198,"3916,7828","H","6,992106","0,402082","180,9431"
199,"3938,3419","H","6,992106","0,402082","180,9431"
200,"3958,427","H","6,992106","0,402082","180,9431"
201,"3977,4958","H","6,992106","0,402082","180,9431"
202,"3997,187","H","6,992106","0,402082","180,9431"
203,"4018,255","H","6,992106","0,402082","180,9431"
204,"4037,2981","H","6,992106","0,402082","180,9431"
205,"4058,3576","H","6,758663","358,021","179,5387"
206,"4077,8982","H","6,758663","358,021","179,5387"
207,"4096,4669","H","6,758663","358,021","179,5387"
