Var11,Var12,Var13
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"357,3664","164,9681","183,6999"
"357,3664","164,9681","183,6999"
"357,3664","164,9681","183,6999"
"357,3664","164,9681","183,6999"
"357,3664","164,9681","183,6999"
"357,3664","164,9681","183,6999"
"357,6171","165,5387","184,0013"
"357,6171","165,5387","184,0013"
"357,6171","165,5387","184,0013"
"357,6171","165,5387","184,0013"
"357,6171","165,5387","184,0013"
"357,6171","165,5387","184,0013"
"357,4542","165,7822","183,6665"
"357,4542","165,7822","183,6665"
"357,4542","165,7822","183,6665"
"357,4542","165,7822","183,6665"
"357,4542","165,7822","183,6665"
"357,4542","165,7822","183,6665"
"356,8053","167,0359","183,3628"
"356,8053","167,0359","183,3628"
"356,8053","167,0359","183,3628"
"356,8053","167,0359","183,3628"
"356,8053","167,0359","183,3628"
"356,8374","169,1217","183,0647"
"356,8374","169,1217","183,0647"
"356,8374","169,1217","183,0647"
"356,8374","169,1217","183,0647"
"356,8374","169,1217","183,0647"
"356,8374","169,1217","183,0647"
"356,9082","170,3943","182,9055"
"356,9082","170,3943","182,9055"
"356,9082","170,3943","182,9055"
"356,9082","170,3943","182,9055"
"356,9082","170,3943","182,9055"
"356,9082","170,3943","182,9055"
"356,7723","170,8513","182,789"
"356,7723","170,8513","182,789"
"356,7723","170,8513","182,789"
"356,7723","170,8513","182,789"
"356,7723","170,8513","182,789"
"356,6401","171,1945","182,6745"
"356,6401","171,1945","182,6745"
"356,6401","171,1945","182,6745"
"356,6401","171,1945","182,6745"
"356,6401","171,1945","182,6745"
"356,6401","171,1945","182,6745"
"356,5119","171,5468","182,5563"
"356,5119","171,5468","182,5563"
"356,5119","171,5468","182,5563"
"356,5119","171,5468","182,5563"
"356,5119","171,5468","182,5563"
"356,5059","172,1154","182,6542"
