Var11,Var12,Var13
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"358,2043","2,935674","182,9357"
"358,2043","2,935674","182,9357"
"358,2043","2,935674","182,9357"
"358,2043","2,935674","182,9357"
"358,2043","2,935674","182,9357"
"358,2043","2,935674","182,9357"
"358,2043","2,935674","182,9357"
"358,2043","2,935674","182,9357"
"358,2043","2,935674","182,9357"
"358,2043","2,935674","182,9357"
"358,2072","2,821087","182,9375"
"358,2072","2,821087","182,9375"
"358,2072","2,821087","182,9375"
"358,2072","2,821087","182,9375"
"358,2072","2,821087","182,9375"
"358,2072","2,821087","182,9375"
"358,2072","2,821087","182,9375"
"358,2072","2,821087","182,9375"
"358,0955","2,820173","182,8202"
"358,0955","2,820173","182,8202"
"358,0955","2,820173","182,8202"
"358,0955","2,820173","182,8202"
"358,0955","2,820173","182,8202"
"358,0927","2,934769","182,8182"
"358,0927","2,934769","182,8182"
"358,0927","2,934769","182,8182"
"358,0927","2,934769","182,8182"
"358,0927","2,934769","182,8182"
"358,0927","2,934769","182,8182"
"358,0927","2,934769","182,8182"
"358,0927","2,934769","182,8182"
"358,0927","2,934769","182,8182"
"358,0927","2,934769","182,8182"
"358,0927","2,934769","182,8182"
"358,0927","2,934769","182,8182"
"358,0956","2,936745","182,7036"
"358,0956","2,936745","182,7036"
"358,0956","2,936745","182,7036"
"358,0956","2,936745","182,7036"
"358,0956","2,936745","182,7036"
"358,0982","2,822144","182,7056"
"358,0982","2,822144","182,7056"
"358,0982","2,822144","182,7056"
"358,0982","2,822144","182,7056"
"358,0982","2,822144","182,7056"
"358,0982","2,822144","182,7056"
"358,0982","2,822144","182,7056"
"358,0982","2,822144","182,7056"
"358,0982","2,822144","182,7056"
"358,0982","2,822144","182,7056"
"358,0982","2,822144","182,7056"
